id,type_of_logement_raw,ville_raw,quartier_raw,room_nb_raw,bedroom_nb_raw,surface_raw,price_raw
4485,Maison,Houilles,Main de Fer,7,5,163,724500
4486,Maison,Ozoir-la-Ferrière,Domaine d'Armainvilliers,4,3,85,320000
4487,Appartement,Argenteuil,Centre Ville-Basilique,3,2,61.2,260000
4488,Appartement,Paris 17,Courcelles-Wagram,6,4,195,2475000
4489,Appartement,Paris 16,Muette Nord,3,2,78,1030000
4490,Appartement,Paris 08,Elysées-Madeleine,,,,358800
4491,Maison,Conflans-Sainte-Honorine,Chennevieres,4,3,65,279000
4492,Appartement,Meulan en Yvelines,Les Bords de Seine,1,,24,88000
4493,Appartement,L'Haÿ-les-Roses,Petit Robinson,5,3,79,285000
4494,Appartement,Chilly-Mazarin,Rue de Gravigny,5,3,85.51,159000
4495,Maison,,,3,2,50,170000
4496,Appartement,,,2,1,41.82,79000
4497,Appartement,Neuilly-sur-Marne,Joliot Curie,1,,13.62,86000
4498,Appartement,Cergy,Parc Saint Christophe,5,3,84.92,297500
4499,Maison,Fosses,Ouest,5,3,98,277000
4500,Appartement,Paris 17,Legendre-Lévis,4,2,132,1795000
4501,Appartement,Paris 20,Belleville,1,,27.35,269000
4502,Appartement,Boulogne-Billancourt,Grenier–Point du Jour,5,3,81,680000
4503,Appartement,,,1,,27,264000
4504,Appartement,Paris 16,Muette Nord,1,,24,340000
4505,Appartement,Paris 16,Porte Dauphine,1,,38,475000
4506,Appartement,Villeparisis,Monnet Pre Berson,2,1,45,134000
4507,Appartement,Champigny-sur-Marne,Plant,4,3,72.04,500000
4508,Maison,,,10,6,280,658000
4509,Appartement,Montmorency,Centre Montmorency Centre,2,1,42,236000
4510,Appartement,Garches,Cote Saint Louis,3,2,56.41,480000
4511,Appartement,Louvres,Centre Ouest,4,2,79.17,185500
4512,Appartement,Livry-Gargan,Pachot Lainé-François Villon,4,2,61.05,182800
4513,Maison,,,5,4,116,227000
4514,Maison,Dammartin-en-Goële,Ouest Centre Sud,3,2,58,183000
4515,Appartement,Morangis,Ormeteau,3,2,60.5,204000
4516,Appartement,Morangis,Ormeteau,3,2,61.3,194900
4517,Appartement,Rueil-Malmaison,Plateau-Mont Valérien,3,2,63.04,380000
4518,Appartement,Carrières-sous-Poissy,Le Village,2,1,48,119000
4519,Appartement,Rueil-Malmaison,Plateau-Mont Valérien,3,2,52,260000
4520,Appartement,Pontault-Combault,Mairie Rouxel-Sud Est,3,1,65.73,199000
4521,Maison,Montigny-le-Bretonneux,Le Manet-Sud,8,5,128.5,483000
4522,Appartement,Garches,Cote Saint Louis,1,,29.9,280000
4523,Appartement,Louvres,Sud et Est,3,2,62.59,199500
4524,Maison,Fosses,Ouest,5,4,110,210000
4525,Appartement,Puteaux,Bergère-Moulin,3,2,67,530000
4526,Maison,Vaires sur Marne,Centre,7,5,125,429000
4527,Maison,,,5,4,101.34,440000
4528,Appartement,,,2,1,40.25,210000
4529,Appartement,Paris 15,Emeriau-Zola,3,2,55,599000
4530,Appartement,Paris 11,Nation-Alexandre Dumas,2,1,62,599000
4531,Appartement,Paris 16,Muette Sud,4,2,95.45,1395000
4532,Maison,Le Kremlin Bicetre,Kremlin-Saint Germain,3,2,50,399000
4533,Maison,,,3,2,62,160600
4534,Appartement,Asnières-sur-Seine,Bac-Bécon-Flachat-Gare,1,,49.7,411000
4535,Maison,,,5,4,130,306480
4536,Appartement,Argenteuil,Val Notre Dame-Ambroise Thomas,4,3,79,329000
4537,Appartement,Franconville,Les Fontaines,,,,148000
4538,Appartement,Montigny-Lès-Cormeilles,Village,2,1,39,176000
4539,Appartement,Drancy,Paris Campagne,2,,42.28,172000
4540,Appartement,Meaux,La Corniche-Frot-Saint Faron-Clémenceau,2,,37.6,157998
4541,Appartement,,,,,,362000
4542,Maison,Clamart,La Gare,5,,116.71,911000
4543,Appartement,,,5,,103,785000
4544,Appartement,Saint-Ouen,Dock Saint Ouen,5,,114,861350
4545,Appartement,Saint-Maur-des-Fossés,La Varenne,,,,233000
4546,Appartement,Draveil,Centre Ville-Mousseaux-Plaine,3,2,55.98,274300
4547,Appartement,Paris 17,Courcelles-Wagram,8,5,275,3500000
4548,Appartement,Saint-Cyr-l'École,Gérard Philipe,2,1,38.14,199000
4549,Appartement,Argenteuil,Val Notre Dame-Ambroise Thomas,,,,149000
4550,Appartement,Garches,Cote Saint Louis,2,1,43.34,368000
4551,Appartement,Garches,Cote Saint Louis,3,2,62.24,554000
4552,Appartement,Paris 13,Patay-Masséna,,,,403600
4553,Appartement,La Courneuve,Balzac-Moulin Neuf,4,3,76,296000
4554,Appartement,Nanterre,Mont Valérien,5,3,116.19,613000
